,summary,title,category
1030,"Masa’s Las Adelitas program is a young women’s space for folks ages 14-21 who identify as women of color, indigenous, immigrant and/or latinx. A volunteer with the Las Adelitas program supports the implementation of the program, from setup and breakdown to classroom support.",Volunteer with Masa’s Las Adelitas,
1031,Make this a Summer of support! Volunteers are needed for our Urban Farms in Brooklyn and Far Rockaway.,Urban Farming Volunteer Day,
1032,"Selfhelp Queens North Friendly Visiting is a program that matches homebound seniors with volunteers in their community who make weekly in-person, phone, and/or video visits. Friendly visiting is an enriching opportunity for the volunteer to develop a meaningful friendship.","Friendly Visiting Volunteers Needed in Bayside, Flushing, and Whitestone, Queens!!!",
1033,"We are looking for volunteers to help our nurses in our residence for individuals with intellectual/developmental disabilities with administrative tasks, including data entry, filing, and answering phones. The program sites are in the Bronx, Brooklyn, and Queens.",Assist RNs,
1034,Bike MS: New York City is a unique experience - the 30 mile route around Manhattan is completely traffic free. The 50 and 100 mile rides allow cyclists to ride through the Holland Tunnel traffic free. More than 300 volunteers are needed to make this event a success!,Volunteer for Bike MS: NYC!,
1035,Do you have a green thumb? COPO is seeking individuals who are interested in gardening to help with our newly launched community garden and composting program.,Garden and Composting Volunteer,
1036,"NYU Langone Health has some exciting volunteer opportunities!  We need help navigating visitors around the large hospital campus as well as helping to answer and field their concerns. If you are interested in becoming a Guest Services volunteer or other volunteer opportunities, please apply online.",Guest Services Volunteer Opportunity,
1037,"Respond to occasional requests for volunteers to visit, spend time with and work with seniors.",Join DOROT's Response Team for Occasional Volunteering with Seniors,
1038,"Our Legal Services Department is looking for a highly personable, persistent, and detail-oriented Legal Intern to assist our attorney with immigration cases. CIANA provides free consultations to determine immigration relief, as well as provides assistance with a variety of immigration applications.",Fall Legal Intern (UNPAID),
1039,"Our Department of Communications and Development is looking for self-starting Development Interns who are strong thinkers, writers, and listeners with excellent people skills. Chosen interns will form a team that possesses a combination of the skills outlined below.",Fall Development Intern (UNPAID),
1040,Our Department of Communications and Development is looking for Communications Interns who are creative and detail-oriented self-starters. Chosen interns will form a team that possesses a combination of the skills outlined below.,Fall Communications Intern (UNPAID),
1041,We're looking for 10-15 volunteers to become NYC Open Data Queens Borough Ambassadors from August - November 2019 as a part of a pilot programming initiative called Data Counts in partnership with the Queens Public Library and civic technology nonprofit BetaNYC. Apply by next Tuesday 7/16.,Call for NYC Open Data Volunteers,
1042,SuitUp increases college and career awareness for students from low-income areas through innovative business plan competitions with corporate volunteers.,Engage Students in a Shark Tank Business Competition,
1043,"On Saturday, October 12th the Lupus Research Alliance will hold its 16th annual New York City Walk with Us to Cure Lupus at the Intrepid Sea, Air &amp; Space Museum. This 5K Walk is our grassroots event that raises vital funds to find a cure for lupus.","The 16th Annual New York City Walk with Us to Cure Lupus is Saturday, October 12th at the Intrepid Sea, Air & Space Museum – and we’d love to see you there!",
